`session_type_id`,`method_id`
1,IM001
2,IM013
3,IM002
4,IM003
5,IM004
6,IM005
7,IM010
8,IM006
9,IM007
10,IM008
11,IM009
12,IM010
13,IM010
14,IM011
15,IM012
16,IM013
17,IM013
18,IM014
19,IM013
20,IM007
21,IM015
22,IM016
23,IM017
24,IM013
25,IM018
26,IM019
27,IM020
28,IM021
29,IM022
30,IM023
31,IM024
32,IM025
33,IM007
34,IM026
35,IM027
36,IM028
37,IM029
38,IM030
39,AM001
40,AM001
41,AM002
42,AM003
43,AM003
44,AM004
45,AM004
46,AM005
47,AM006
48,AM007
49,AM008
50,AM008
51,AM009
52,AM010
53,AM010
54,AM011
55,AM012
56,AM013
57,AM014
58,AM015
59,AM015
60,AM016
61,AM016
62,AM017
63,AM018
